Category	"Unique Reads"	"Duplicate Reads"
"SRR8932929_RNA_THP1_24hrPMA_rep2_R1"	28910384	41763113
"SRR8932929_RNA_THP1_24hrPMA_rep2_R2"	31145688	39527809
"SRR8932930_RNA_THP1_0hrPMA_rep1_R1"	35558220	41659837
"SRR8932930_RNA_THP1_0hrPMA_rep1_R2"	36555376	40662681
"SRR8932933_RNA_THP1_2hrPMA_rep1_R1"	32427073	46278431
"SRR8932933_RNA_THP1_2hrPMA_rep1_R2"	32005206	46700298
"SRR8932934_RNA_THP1_24hrPMA_rep1_R1"	16945804	30438116
"SRR8932934_RNA_THP1_24hrPMA_rep1_R2"	18837266	28546654
"SRR8932935_RNA_THP1_0hrPMA_rep2_R1"	36016952	46071865
"SRR8932935_RNA_THP1_0hrPMA_rep2_R2"	35777166	46311651
"SRR8932938_RNA_THP1_2hrPMA_rep2_R1"	18331147	17880912
"SRR8932938_RNA_THP1_2hrPMA_rep2_R2"	17767760	18444299