"Position (bp)"	"ATAC_THP1_0hrPMA_rep2_r1 - nextera_transposase_sequence"
1	0.0018838155387135571
2	0.0018867713162324593
3	0.0018867713162324593
4	0.0018936681304432305
5	0.0018946533896161979
6	0.0018946533896161979
7	0.0018966239079621326
8	0.0018966239079621326
9	0.0018995796854810345
10	0.0019025354629999367
11	0.001906476499691806
12	0.0019074617588647734
13	0.0019133733139025774
14	0.0019222406464592834
15	0.0019232259056322508
16	0.0019232259056322508
17	0.0019261816831511527
18	0.0019291374606700549
19	0.0019340637565348916
20	0.0019360342748808263
21	0.0019360342748808263
22	0.001940960570745663
23	0.0019429310890915976
24	0.001967562568415781
25	0.0019892382702210625
26	0.002032589673831626
27	0.0023468873500082075
28	0.002684831246336006
29	0.002937057594615645
30	0.003183372387857481
31	0.0034020999242562306
32	0.003611960128098274
33	0.003815908776902514
34	0.004047444682549839
35	0.00444351887008271
36	0.005219903098380976
37	0.006781538887534212
38	0.008725455235798778
39	0.010848688753543398
40	0.013654706878154387
41	0.017588846755812983
42	0.022343707524553374
43	0.027232563540817323
44	0.03079131967357536
45	0.03449589416393256
46	0.0381965276175979
47	0.04201145113532745
48	0.04560173556162044
49	0.04905605422204394
50	0.05260594302224527
51	0.05724355794940255
52	0.06344182340654009
53	0.07029035991783608
54	0.07526887451884007
55	0.07927592357529824
56	0.08314996264340582
57	0.0868220235810551
58	0.09192468083785298
59	0.09624504231131477
60	0.09825792680168705
61	0.0991614094632981
62	0.10026982603288635
63	0.10049643564266884
64	0.10049643564266884
65	0.10049643564266884