"Position in Read (bp)"	"ATAC_THP1_0hrPMA_rep1_r1"	"ATAC_THP1_0hrPMA_rep1_r2"	"ATAC_THP1_0hrPMA_rep2_r1"	"ATAC_THP1_0hrPMA_rep2_r2"	"ATAC_THP1_24hrPMA_rep1_r1"	"ATAC_THP1_24hrPMA_rep1_r2"	"ATAC_THP1_24hrPMA_rep2_r1"	"ATAC_THP1_24hrPMA_rep2_r2"
1	1.291233418274228	1.2855928110218433	0.9323172565671145	0.9375686879590305	0.8628174361210503	0.8631951156362597	0.8331818334039457	0.838886035912371
2	1.2599362805832797	1.2648974222678167	0.9029890467653956	0.9178339467244945	0.8324446680001979	0.8431344028738602	0.8038888383369436	0.8196869092924374
3	1.2572854708350318	1.2682239724437374	0.9003869772895889	0.9210330832591195	0.8298211999627315	0.846521033237514	0.8014045119207936	0.8232327116802916
4	1.2571565809849907	1.2669350739433247	0.9002874661131193	0.91990102046938	0.829669816024817	0.8450938104414027	0.801261734540555	0.8217990298483795
5	1.2571051740505812	1.2702444884744424	0.9002273653035681	0.9231178916691184	0.8296347011938574	0.8482822370925295	0.8011908381862298	0.8250257986417696
6	1.2614404921857847	1.2742192130407444	0.9044718618207114	0.9269229625951183	0.8338219497033889	0.8521300422361187	0.8054150792981138	0.8289103280558449
7	1.2573450730778255	1.2767217622100429	0.9004401812849292	0.9292186164681322	0.8298438295204609	0.8545631098568266	0.8014291287104899	0.831180980737431
8	1.2570358864433335	1.2812537677464653	0.9001583971614605	0.9336276512671611	0.8295535469178621	0.8591397428252207	0.8011347119057223	0.8356454817167508
9	1.2569427579389685	1.27999020019924	0.9000500186524341	0.9325083968466701	0.8294458614362528	0.8580535240542053	0.80103033671741	0.8346322546528515
10	1.2570429642096652	1.2816948243431385	0.9001342583117227	0.9342995980231248	0.8295359895023823	0.859713675229015	0.801129296211989	0.8363253974481625
12	1.2571264073495763	1.284549399258937	0.9002485483757869	0.9371474896625869	0.8296311897107614	0.862604015981774	0.8012125009611626	0.8391922687761929
14	1.2570854308076558	1.286560229925188	0.9001869696774766	0.9390648040131813	0.8295839797713602	0.864467833176149	0.8011676984039153	0.841104500999801
16	1.2574154782271256	1.289050113617893	0.9005278693513231	0.9413200622601035	0.8299370789048979	0.8669566943616038	0.801501502072197	0.8434017398142593
18	1.2571882446764748	1.289867409372201	0.9002859882243598	0.9423782306118705	0.8296947865712772	0.8678205192032086	0.8012853666586636	0.8443396395016881
20	1.2575406429369922	1.2884220549844547	0.9006002859005362	0.9408323589694847	0.8299956036231638	0.8664990310647644	0.8015807681350191	0.8428764175221404
22	1.2574680027035874	1.290406437155466	0.9005529934602339	0.9428654412729028	0.8299799970316263	0.868339438371833	0.801554674337941	0.8448063738343299
24	1.258271142925232	1.2851435591167863	0.9013751922400751	0.9376677065059137	0.8307579856197743	0.8632306206320076	0.8023645667189491	0.8396462023781927
26	1.2603624366192545	1.2861057628238863	0.9033836430641691	0.9384933536928602	0.8328960886604222	0.8640452847102692	0.8044496088062252	0.8405102516965326
28	1.2609368532341783	1.2895023456350896	0.903836862283734	0.9418506243247464	0.8333818438220293	0.867528675941456	0.8049109274451337	0.8439398628370202
30	1.2647588470533215	1.2905379346036294	0.9076680425778175	0.9428954916776783	0.8371859505093133	0.8684603894562493	0.8086566181653219	0.8448413296756986
32	1.266842317952977	1.2850869369861324	0.9095562917828095	0.9376135172514004	0.8392514828993114	0.8631943353066827	0.8107549533190339	0.8396398020128716
34	1.2679129232391582	1.2859232309553308	0.9106829356470977	0.9383785709992095	0.8402202620690065	0.8638704908850483	0.8116539584787426	0.8404048918366325
36	0.012942727733526688	0.03491218837917781	0.012388827223263612	0.03302587914654332	0.012632793469673017	0.03404278555794348	0.012496363486507426	0.03327795110064729
38	0.012621248309642674	0.033076204331940945	0.01205879047695605	0.031394717808797795	0.012391923270515522	0.03221000873204855	0.012181560265339269	0.03152468854600003
40	0.012492400597708515	0.03431025617592129	0.01201612323017393	0.032609426427812664	0.012209376672506328	0.03345432674323101	0.011949571192493064	0.03274453509690734
42	0.01550378103520028	0.03610344721020353	0.014899354702478928	0.034244144754844955	0.01519446048164745	0.03509800454668472	0.014892799187348326	0.03439299609986989
44	0.013881192149254746	0.035630564864920014	0.013356487558724813	0.03387745900478439	0.01356754271124276	0.03459202009762715	0.01338452710228816	0.03396045369159055
46	0.010530533601457275	0.03456650714112493	0.010072589673425445	0.03290951615308751	0.01036597333825216	0.0336003485558185	0.010154987395816382	0.03298291843219484
48	0.005624732632020247	0.03814756818714275	0.005300617812166994	0.03627073945901916	0.005488544569465321	0.03697424502884767	0.0053331056535457	0.03630497669229556
50	0.003000208426689021	0.03795553452918129	0.0027548056627007744	0.036111686647609394	0.002908714905142705	0.03684746776526805	0.0028032762668387563	0.036203707109163694
52	0.0018548315804281766	0.03450033897219379	0.0017764693130435491	0.03282931044042189	0.0018618378507963837	0.03340723077118635	0.001786794347233051	0.03282364187577603
54	0.0024465639366988874	0.0392250182662168	0.002322639240643868	0.037470141492602645	0.0023486020955716352	0.038168990830422224	0.0023039903968979426	0.037410483453985156
56	0.0032348465804710384	0.036443466298852936	0.0030749374844243936	0.03489376839708945	0.003156981325582974	0.03533678162466648	0.003054795043202283	0.034517327463437664
58	0.005524353620294217	0.03866644930595877	0.005202534604064529	0.037059427270873975	0.005401868008689457	0.03756343819358179	0.005210492187601932	0.03685590794396372
60	0.001932852877080342	0.04011613970580987	0.001828836806350306	0.038530608769764295	0.0018808915887472248	0.039004777746636035	0.0018268041064940107	0.03822600973799799
62	0.001665388327361992	0.03789127657559276	0.0015783602669760621	0.03638628299339831	0.0016078746243007834	0.03678508962383981	0.001585195664373868	0.035900441599918176
64	0.0017198840228260493	0.03727026739000401	0.001654259315376412	0.036074178752385756	0.0017280373950936663	0.036205377053238376	0.0015959006450048693	0.03539063232847121
66	0.0008612632450221017	0.03951996840210863	0.0008075374454069495	0.038221233862115796	0.0008378057682354857	0.038374965903798325	0.000842028946228109	0.037573824227563904
68	0.0014594381546665163	0.03490841905943044	0.001400628911274293	0.03385990723498733	0.0014325486565571301	0.03377206567964488	0.0013847196983451915	0.03305924362263316
70	0.0015616168809826035	0.037089100245462914	0.001480435235628153	0.03600015490229184	0.0015093407706362123	0.03594661610815236	0.0014939883790133965	0.03506519931329874
72	0.0009060633467895357	0.036925865452853916	0.0008596629591074808	0.03590470220927094	0.0008979966820600895	0.035720989327557094	0.0008665484152298674	0.03484558999950929
74	0.0007286721218657754	0.03606531090863202	0.0006515861125320911	0.035125305926336114	0.000648502924001709	0.03485260589942593	0.000622380519591647	0.03389743021186802
76	0.0021569626647276537	0.05076788562157641	0.0020432308008584807	0.04953445405882674	0.002137796568865659	0.04920258674577219	0.0019736321930964567	0.04819064110696859